Meês;Autuacao;Ocupacao;Receita;horasmês;horaspagas;Tarifa;Ocupacao;
jan/14;843;0,29; R$ 436.454,80 ;1016400; R$ 290.969,87 ;1,5;28,62749574
fev/14;885;0,27; R$ 411.387,85 ;1016400; R$ 274.258,57 ;1,5;26,98333005
mar/14;1055;0,27; R$ 405.331,05 ;1016400; R$ 270.220,70 ;1,5;26,58605864
abr/14;600;0,30; R$ 462.294,80 ;1016400; R$ 308.196,53 ;1,5;30,32236652
mai/14;1692;0,33; R$ 497.693,70 ;1016400; R$ 331.795,80 ;1,5;32,64421488
jun/14;438;0,24; R$ 367.957,00 ;1016400; R$ 245.304,67 ;1,5;24,13465827
jul/14;1113;0,31; R$ 467.494,80 ;1016400; R$ 311.663,20 ;1,5;30,66343959
ago/14;1302;0,32; R$ 486.612,40 ;1016400; R$ 324.408,27 ;1,5;31,91738161
set/14;1318;0,31; R$ 466.667,45 ;1016400; R$ 311.111,63 ;1,5;30,6091729
out/14;1766;0,34; R$ 515.101,65 ;1016400; R$ 343.401,10 ;1,5;33,78601928
nov/14;2171;0,33; R$ 507.694,10 ;1016400; R$ 338.462,73 ;1,5;33,30015086
dez/14;1546;0,33; R$ 507.234,75 ;1016400; R$ 338.156,50 ;1,5;33,27002165
jan/15;278;0,06; R$ 88.396,00 ;1016400; R$ 58.930,67 ;1,5;5,797979798
abr/15;1023;0,22; R$ 441.089,00 ;1016400; R$ 220.544,50 ;2;21,69859307
mai/15;2304;0,22; R$ 443.758,75 ;1016400; R$ 221.879,38 ;2;21,8299267
jun/15;952;0,21; R$ 434.579,70 ;1016400; R$ 217.289,85 ;2;21,37837957
jul/15;851;0,20; R$ 410.051,10 ;1016400; R$ 205.025,55 ;2;20,17173849
ago/15;934;0,23; R$ 471.436,75 ;1016400; R$ 235.718,38 ;2;23,19149695
set/15;590;0,19; R$ 377.326,65 ;1016400; R$ 188.663,33 ;2;18,56191706
out/15;800;0,16; R$ 316.310,40 ;1016400; R$ 158.155,20 ;2;15,56033058
nov/15;958;0,17; R$ 343.517,05 ;1016400; R$ 171.758,53 ;2;16,8987136
dez/15;670;0,21; R$ 426.976,50 ;1016400; R$ 213.488,25 ;2;21,0043536
jan/16;319;0,14; R$ 293.498,60 ;1016400; R$ 146.749,30 ;2;14,43814443
fev/16;846;0,16; R$ 329.373,90 ;1016400; R$ 164.686,95 ;2;16,20296635
mar/16;1070;0,17; R$ 351.543,60 ;1016400; R$ 175.771,80 ;2;17,29356553
abr/16;779;0,16; R$ 325.862,25 ;1016400; R$ 162.931,13 ;2;16,03021694
mai/16;423;0,14; R$ 293.311,85 ;1016400; R$ 146.655,93 ;2;14,4289576
jun/16;597;0,13; R$ 274.367,50 ;1016400; R$ 137.183,75 ;2;13,49702381
jul/16;448;0,15; R$ 305.046,50 ;1016400; R$ 152.523,25 ;2;15,00622294
ago/16;544;0,14; R$ 277.599,80 ;1016400; R$ 138.799,90 ;2;13,65603109
set/16;215;0,13; R$ 259.623,65 ;1016400; R$ 129.811,83 ;2;12,77172619
out/16;158;0,11; R$ 229.591,75 ;1016400; R$ 114.795,88 ;2;11,29436
nov/16;274;0,12; R$ 251.165,90 ;1016400; R$ 125.582,95 ;2;12,35566214
dez/16;553;0,12; R$ 235.910,55 ;1016400; R$ 117.955,28 ;2;11,60520218
jan/17;355;0,12; R$ 234.638,50 ;989780; R$ 117.319,25 ;2;11,85306331
fev/17;308;0,08; R$ 150.814,35 ;989780; R$ 75.407,18 ;2;7,618579381
mar/17;2317;0,14; R$ 273.215,15 ;989780; R$ 136.607,58 ;2;13,80181202
abr/17;1470;0,11; R$ 208.097,10 ;989780; R$ 104.048,55 ;2;10,51229061
mai/17;5526;0,18; R$ 350.352,65 ;989780; R$ 175.176,33 ;2;17,69851129
jun/17;3820;0,16; R$ 310.970,80 ;989780; R$ 155.485,40 ;2;15,70908687
jul/17;3222;0,18; R$ 352.952,40 ;989780; R$ 176.476,20 ;2;17,82984097
ago/17;3075;0,20; R$ 399.646,50 ;989780; R$ 199.823,25 ;2;20,18865303
set/17;1765;0,16; R$ 316.282,80 ;989780; R$ 158.141,40 ;2;15,97742933
out/17;1774;0,19; R$ 373.127,70 ;984456; R$ 186.563,85 ;2;18,9509587
